"target_id","sex","recording","n_points","duration_s","mean_speed_ms","mean_height_cm","path_length_m"
500037,"Male","180727_mal-col_d05",253,1.26000000000001,0.390663575269124,-4.41660079051383,0.51750612174601
500038,"Male","180727_mal-col_d05",1005,5.02,0.278502634554001,-39.8351681957187,1.47560134584451
500039,"Male","180727_mal-col_d05",649,3.24000000000001,0.393852942043635,-41.1881355932203,1.32909337626698
500040,"Male","180727_mal-col_d05",821,4.10000000000002,0.315160359452125,-42.5349563046192,1.34459838739384
500041,"Male","180727_mal-col_d05",2701,13.5,0.330093157794891,-40.2309212980231,4.69034421653683
500042,"Male","180727_mal-col_d05",1525,7.62,0.344126842561403,-38.6965901639344,2.78182179451407
500043,"Male","180727_mal-col_d05",609,3.03999999999999,0.388089164022596,-40.8444991789819,1.2328282706238
500044,"Male","180727_mal-col_d05",365,1.82000000000002,0.320095161170531,-40.0301369863014,0.616332445448691
500045,"Male","180727_mal-col_d05",477,2.38,0.325347060704643,-37.2572327044025,0.826509147583139
500046,"Male","180727_mal-col_d05",1537,7.68000000000001,0.325490712687423,-40.2936369725385,2.59612522475284
500047,"Male","180727_mal-col_d05",185,0.919999999999987,0.345928100712319,-37.8827027027027,0.337083047400367
500048,"Male","180727_mal-col_d05",401,2,0.309607408249232,-38.2895261845387,0.664297804250304
500049,"Male","180727_mal-col_d05",533,2.66,0.330793558022327,-37.3112570356473,0.935374458383612
500050,"Male","180727_mal-col_d05",93,0.45999999999998,0.284607650005448,-38.7430107526882,0.140078161184881
500051,"Male","180727_mal-col_d05",285,1.42000000000002,0.223288066240096,-40.2631578947368,0.363880104378303
500052,"Male","180727_mal-col_d05",1553,7.76000000000002,0.341247242305415,-39.4498364944408,2.75963030575765
500053,"Male","180727_mal-col_d05",245,1.22,0.356923184122059,-31.6710204081633,0.460597906141615
500054,"Male","180727_mal-col_d05",53,0.259999999999991,0.362048391174437,-37.5132075471698,0.0976424610963022
500055,"Male","180727_mal-col_d05",849,4.24000000000001,0.340365998621872,-39.6521456436931,1.38293689216391
500056,"Male","180727_mal-col_d05",873,4.35999999999999,0.314804103136692,-38.519587628866,1.45966908394779
500057,"Male","180727_mal-col_d05",497,2.48000000000002,0.394109346887258,-20.9533199195171,1.02188320642157
500058,"Male","180727_mal-col_d05",53,0.259999999999991,0.298716977856423,-37.3641509433962,0.0837522460168056
500059,"Male","180727_mal-col_d05",561,2.80000000000001,0.359101008393054,-42.1688057040998,1.06037489796858
