id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.913599,6.7733674,-41.175747,147.2092,1.6752409,0.45507133,-0.29654786,0.45507133
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.933599,7.08775,-41.11362,146.863,2.0919034,0.23587236,-10.9599495,0.47174472
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.953599,7.41871,-41.051193,146.48793,1.7917298,0.25204936,0.80884975,0.5040987
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.963599,7.7580457,-40.98514,146.10193,2.1390865,0.51816785,26.611853,0.51816785
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.973599,8.100692,-40.914997,145.71246,2.0290685,0.5234615,0.529365,0.5234615
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.983599,8.447225,-40.84114,145.32175,1.8755641,0.5274485,0.3986973,0.5274485
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.003599,8.811594,-40.757233,144.91966,2.1240015,0.27453616,-12.645617,0.5490723
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.013599,9.190149,-40.66805,144.50891,2.3644404,0.5656657,29.112955,0.5656657
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.023599,9.580203,-40.575127,144.09624,1.6421081,0.57538694,0.9721211,0.57538694
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.033599,9.9816475,-40.47757,143.67863,1.821442,0.58742267,1.2035741,0.58742267
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.043600,10.395327,-40.37499,143.26697,2.011312,0.5925021,0.50789016,0.59256136
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.053600,10.805054,-40.271954,142.86888,1.6699824,0.5804826,-1.2019503,0.5804826
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.063600,11.199989,-40.161987,142.4968,1.7390217,0.55363953,-2.6843064,0.55363953
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.073600,11.590284,-40.05885,142.14713,1.7930648,0.53407675,-1.9562784,0.53407675
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.083600,11.985178,-39.956436,141.80872,1.9255813,0.53004724,-0.4029499,0.53004724
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.093600,12.382244,-39.853096,141.47467,0.8588034,0.5290774,-0.09698464,0.5290774
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.103600,12.769915,-39.754826,141.14732,0.97652656,0.5168202,-1.225718,0.5168202
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.123600,13.171833,-39.658,140.81953,0.9478216,0.263799,-12.651059,0.527598
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.133600,13.535915,-39.503967,140.29254,0.95744634,0.6587905,39.499153,0.6587905
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.143600,13.922031,-39.381966,139.85773,1.1456991,0.59416085,-6.4629693,0.59416085
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.153600,14.313745,-39.27588,139.46863,1.0232888,0.56222117,-3.1939657,0.56222117
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.163600,14.698538,-39.177185,139.10497,1.1022422,0.5385761,-2.3645067,0.5385761
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.183600,15.076022,-39.092827,138.73166,1.1690433,0.26877826,-13.489893,0.5375565
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.193600,15.4360285,-39.012157,138.34584,1.0590471,0.53382146,26.504318,0.53382146
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.213600,15.768784,-38.93156,137.93318,1.1806566,0.26809743,-13.286201,0.53619486
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.223600,16.070591,-38.851974,137.51065,1.0988696,0.5253218,25.722439,0.5253218
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.233600,16.338326,-38.772346,137.09091,1.2653978,0.504177,-2.114482,0.504177
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.243600,16.549889,-38.697594,136.68208,0.99697554,0.46636483,-3.781217,0.46636483
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.253600,16.758821,-38.687138,136.47801,1.0173682,0.29223806,-17.412678,0.29223806
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.263600,16.907658,-38.651142,136.1884,0.8264106,0.32760414,3.5366101,0.32760414
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.273601,17.011133,-38.603542,135.86102,0.8504891,0.34658727,1.8981236,0.34662193
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.293601,17.071447,-38.553288,135.50343,0.8411651,0.18305767,-8.17648,0.36611533
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.303601,17.091204,-38.489746,135.15927,1.045288,0.35053724,16.747955,0.35053724
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.313601,17.08195,-38.422382,134.83257,1.4931159,0.33369777,-1.683947,0.33369777
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.323601,17.048231,-38.353683,134.53102,1.2500454,0.3111048,-2.2592947,0.3111048
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.333601,16.998863,-38.285507,134.2401,1.3056093,0.30285358,-0.8251229,0.30285358
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.343601,16.941217,-38.219276,133.96255,1.1881845,0.29111,-1.1743562,0.29111
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.353601,16.879349,-38.15087,133.6971,1.5335146,0.2810227,-1.0087308,0.2810227
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.363601,16.81897,-38.073784,133.4279,1.7515264,0.2864514,0.54287034,0.2864514
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.373601,16.763647,-37.99306,133.16135,1.7928872,0.283955,-0.24964076,0.283955
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:31.403601,16.731611,-37.89268,132.8692,1.9295201,0.103519365,-6.0145216,0.31055808
