id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.904840,42.62648,-20.345232,194.82053,26.920057,0.9906109,-2.332115,0.9906109
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.914840,41.875217,-19.843788,194.46306,26.306442,0.971402,-1.9208932,0.971402
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.924840,41.202618,-19.252825,194.04636,25.843065,0.98756164,1.6159652,0.98756164
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.944840,40.542377,-18.484245,193.44977,24.96265,0.58790815,-19.982674,1.1758163
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.954840,39.945232,-17.601461,192.8371,26.16669,1.2293284,64.14202,1.2293284
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.964840,39.408344,-16.630564,192.18147,27.36173,1.2886959,5.9367623,1.2886959
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.974840,38.923645,-15.588809,191.5033,27.424143,1.3342118,4.5515785,1.3342118
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.984840,38.479034,-14.490311,190.8467,28.546665,1.354804,2.0592206,1.354804
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.004840,38.02723,-13.264702,190.20883,24.82673,0.72682774,-31.398811,1.4536555
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.014840,37.571358,-11.971299,189.6169,24.844604,1.4936844,76.68567,1.4936844
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.024840,37.115368,-10.630402,189.07568,22.404564,1.5161977,2.2513268,1.5161977
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.034841,36.67009,-9.258751,188.60547,23.07939,1.5166875,0.048974097,1.5168391
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.054841,36.213272,-7.8094215,188.1975,23.030352,0.78671426,-36.49866,1.5734285
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.064841,35.80562,-6.3965235,187.88611,24.667858,1.5031357,71.64214,1.5031357
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.074841,35.40905,-4.995304,187.60776,23.92332,1.4826213,-2.0514426,1.4826213
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.084841,35.00313,-3.6094441,187.37952,24.416487,1.4620107,-2.0610523,1.4620107
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.094841,34.56151,-2.2454257,187.18025,25.33854,1.4475085,-1.4502275,1.4475085
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.104841,34.070538,-0.9100882,187.03542,25.522808,1.4300895,-1.7418997,1.4300895
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.114841,33.546673,0.31599888,186.94574,26.984013,1.3363245,-9.376504,1.3363245
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.124841,32.97568,1.4858929,186.88818,26.765081,1.3030723,-3.325217,1.3030723
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.134841,32.356564,2.621801,186.87654,26.637398,1.293727,-0.9345306,1.293727
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.144841,31.681791,3.7374341,186.89998,26.490574,1.3040336,1.0306672,1.3040336
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.154841,30.97609,4.7807765,187.00888,24.871965,1.2642946,-3.9738991,1.2642946
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.174841,30.145304,5.849084,187.19237,24.393894,0.68285257,-29.072105,1.3657051
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.184841,29.237274,6.9376144,187.45518,23.684069,1.4416951,75.884254,1.4416951
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.194841,28.28386,8.045928,187.78175,25.131824,1.4980011,5.630599,1.4980011
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.204841,27.31911,9.176145,188.18164,25.157925,1.5388467,4.0845695,1.5388467
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.214841,26.373743,10.324027,188.63684,25.578377,1.5551683,1.6321589,1.5551683
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.224841,25.472586,11.480026,189.14742,25.720432,1.5521324,-0.30359438,1.5521324
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.234841,24.62816,12.627886,189.69463,21.78299,1.5264568,-2.5675578,1.5264568
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.244841,23.854702,13.748032,190.2643,21.024979,1.4756322,-5.0824614,1.4756322
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.254842,23.167854,14.831909,190.86238,18.649292,1.4155772,-6.004899,1.4157188
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.264842,22.57714,15.871915,191.44263,17.845928,1.3293781,-8.619911,1.3293781
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.274842,22.161814,16.809921,191.99588,18.360205,1.1655194,-16.385868,1.1655194
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.284842,21.87697,17.667336,192.54832,18.664454,1.0590063,-10.6513,1.0590063
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.294842,21.698195,18.460556,193.11395,18.81325,0.9904994,-6.850704,0.9904994
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.304842,21.595196,19.191006,193.67737,17.962828,0.92822397,-6.2275405,0.92822397
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.314842,21.53646,19.874462,194.23685,18.504696,0.8852007,-4.302327,0.8852007
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.324842,21.493586,20.527275,194.79434,18.897573,0.8595322,-2.5668526,0.8595322
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.334842,21.440329,21.172997,195.36765,21.027483,0.8651511,0.56189454,0.8651511
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.344842,21.354733,21.836578,195.9577,21.547995,0.892089,2.6937923,0.892089
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.354842,21.218256,22.536142,196.54198,21.180983,0.9216287,2.9539714,0.9216287
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.364842,21.022482,23.279875,197.10754,21.718796,0.9546316,3.3002906,0.9546316
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.374842,20.8255,24.063622,197.98439,23.465326,1.1924485,23.781683,1.1924485
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.384842,20.522747,24.787144,198.2518,22.329605,0.82864404,-36.380447,0.82864404
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.394842,20.149763,25.643463,198.59856,21.433998,0.9963157,16.767172,0.9963157
