"target_id","frame","time_s","x","y","z","vx","vy","vz","size_mm2","speed_mps","speed_mms","speed_ms","horizontal_speed_ms","vertical_speed_ms"
1,161,1.60000705718994,-5.25538774526639,-439.129168568916,1555.87759712583,239.178416857899,229.440875589838,-692.104823102006,0.97017014,0.75624216,767.371172668834,0.767371172668834,0.331435409215856,0.692104823102006
1,163,1.62000703811646,-2.83438265915841,-436.808078236724,1548.82616507501,247.336987610461,227.098391009317,-689.754865554138,0.8121292,0.43665767,767.144731582539,0.767144731582539,0.335781572810716,0.689754865554138
1,164,1.63000702857971,-0.274287528402385,-434.676750666605,1542.4064792199,265.803697759456,197.890931065959,-590.211086459023,0.83612007,0.7041482,676.876320253481,0.676876320253481,0.331379580452316,0.590211086459023
1,165,1.64000701904297,2.49920828987242,-432.820299898838,1536.92877465268,289.525506060963,177.671386092684,-518.617915308074,0.94954944,0.61007243,619.965065285492,0.619965065285492,0.339694186137992,0.518617915308074
1,166,1.65000700950623,5.54099313283524,-431.021513039704,1531.7149675964,320.678476367979,187.994812633796,-542.770739359972,0.7893262,0.55499446,657.857743200059,0.657857743200059,0.371721313328822,0.542770739359972
1,169,1.680006980896,8.91842938301448,-429.0049727616,1525.89885913178,353.526916409737,214.947504543453,-619.273783523007,0.90234923,0.2350316,744.770924039423,0.744770924039423,0.413743532077101,0.619273783523007
1,170,1.69000697135925,12.5677853215292,-426.786526797172,1519.54901561618,373.251514601265,222.711041952026,-629.919720615126,1.0182706,0.85463405,765.320688195043,0.765320688195043,0.434645719361753,0.629919720615126
1,171,1.70000696182251,16.3454427673578,-424.644555917973,1513.60889682706,381.571040488193,202.333380736668,-548.036025431931,1.0601046,0.7168269,697.766967597922,0.697766967597922,0.431897274707275,0.548036025431931
1,172,1.71000695228577,20.2031125273154,-422.79376893947,1508.75272306738,391.062485181819,165.782792411787,-416.823942297265,1.2246891,0.6506168,595.110074228847,0.595110074228847,0.424751458592469,0.416823942297265
1,173,1.72000694274902,24.1816691021254,-421.350468207621,1505.33073930947,405.046919214824,122.761762721637,-268.11546065496,1.693356,0.5456174,501.018320417692,0.501018320417692,0.423241606121071,0.26811546065496
1,174,1.73000693321228,28.2947503329295,-420.317502773891,1503.29321439035,416.241179643123,86.0500063753242,-148.566818190149,1.5491258,0.4809628,450.259283852134,0.450259283852134,0.425042731061116,0.148566818190149
1,175,1.74000692367554,32.4679416379539,-419.548093508464,1502.0284855818,415.870122961219,73.7506215240515,-128.29338488556,1.7764887,0.43027014,441.413984772071,0.441413984772071,0.422358986345696,0.12829338488556
1,176,1.75000810623169,36.5780030781588,-418.764873677642,1500.42189600472,405.254152080768,84.7362364033701,-199.655157956892,2.074302,0.45239636,459.64479724816,0.45964479724816,0.414018305801217,0.199655157956892
1,177,1.76000809669495,40.5608603935365,-417.84969971926,1498.01543787257,390.988895390505,96.8225696238651,-277.000296056753,1.6606481,0.4872529,488.851808141061,0.488851808141061,0.40279886582171,0.277000296056753
1,178,1.7700080871582,44.3868792093711,-416.867628758393,1494.99856757439,373.453105720899,97.1469608756652,-319.342186914482,1.7039056,0.5138543,500.883406116919,0.500883406116919,0.385881787831407,0.319342186914482
1,179,1.78000807762146,48.0293041970542,-415.937854149091,1491.73450314277,355.73182278119,88.1432579240807,-329.911375226625,2.0800002,0.49394175,493.108384800565,0.493108384800565,0.366489240847121,0.329911375226625
1,180,1.79000806808472,51.5184262186194,-415.107919611428,1488.44145883929,343.083705928855,78.1927515175498,-328.144932709294,2.3456535,0.48079208,481.144087074287,0.481144087074287,0.351881422731809,0.328144932709294
1,181,1.80000805854797,54.9058120640313,-414.363087210084,1485.17280259733,334.885713596531,71.5158177079946,-326.019057568525,1.9763831,0.47318754,472.812202942533,0.472812202942533,0.342436787383455,0.326019057568525
1,182,1.81000804901123,58.2199401447332,-413.666985741441,1481.91615531779,327.827617519144,68.0241386465677,-325.369893466258,2.0319545,0.4717804,466.865931313401,0.466865931313401,0.334810737950391,0.325369893466258
